"Indicator name: Ramsar sites, hectares  Data Source: MEA Secretariat(http://www.informea.org/en), Ramsar Convention(https://rsis.ramsar.org/)",,,
Description: Ramasar sites that have been officially designated and communicated with the Ramsar Secretariat.,,,
"Lakes and Rivers seasonal water area, km2 (Km2)",Egypt,2000,811.41
"Lakes and Rivers seasonal water area, km2 (Km2)",Egypt,2001,1191.61
"Lakes and Rivers seasonal water area, km2 (Km2)",Egypt,2002,1463.91
"Lakes and Rivers seasonal water area, km2 (Km2)",Egypt,2003,1819.59
"Lakes and Rivers seasonal water area, km2 (Km2)",Egypt,2004,1764.04
"Lakes and Rivers seasonal water area, km2 (Km2)",Egypt,2005,1687.27
"Lakes and Rivers seasonal water area, km2 (Km2)",Egypt,2006,1606.52
"Lakes and Rivers seasonal water area, km2 (Km2)",Egypt,2007,1631.86
"Lakes and Rivers seasonal water area, km2 (Km2)",Egypt,2008,1579.08
"Lakes and Rivers seasonal water area, km2 (Km2)",Egypt,2009,1572.24
"Lakes and Rivers seasonal water area, km2 (Km2)",Egypt,2010,1494.41
"Lakes and Rivers seasonal water area, km2 (Km2)",Egypt,2011,1414.93
"Lakes and Rivers seasonal water area, km2 (Km2)",Egypt,2012,1405.35
"Lakes and Rivers seasonal water area, km2 (Km2)",Egypt,2013,1469.19
"Lakes and Rivers seasonal water area, km2 (Km2)",Egypt,2014,1483.39
"Lakes and Rivers seasonal water area, km2 (Km2)",Egypt,2015,1611.29
"Lakes and Rivers seasonal water area, km2 (Km2)",Egypt,2016,1787.45
"Lakes and Rivers seasonal water area, km2 (Km2)",Egypt,2017,1913.93
"Lakes and Rivers seasonal water area, km2 (Km2)",Egypt,2018,1954.94
"Lakes and Rivers seasonal water area, km2 (Km2)",Egypt,2019,2004.53
"Lakes and Rivers seasonal water area, km2 (Km2)",Egypt,2020,2178.43
"Indicator name: Transboundary surface basins with cooperation, % (SDG 6.5.2)  Data Source: UNSD(http://unstats.un.org/), SDG Indicators Global database(https://unstats.un.org/sdgs/indicators/database/)",,,
"Description: The proportion of transboundary basin area with an operational arrangement for water cooperation is defined as the proportion of transboundary basins area within a country with an operational arrangement for water cooperation. It is derived by adding up the surface area in a country of those transboundary surface water catchments and transboundary aquifers (i.e. Ã¢â‚¬ËœtransboundaryÃ¢â‚¬â„¢ basins) that are covered by an operational arrangement and dividing the obtained area by the aggregate total area in a country of all transboundary basins (both catchments and aquifers). The result is multiplied by 100 to obtain it expressed as percentage share.
",,,
INDICATOR NAME (unit),COUNTRY NAME,YEAR,VALUE
"Transboundary surface basins with cooperation, % (SDG 6.5.2) (Percentage)",Egypt,2020,100
"Indicator name: Water Body Extent (permanent and maybe permanent), % of Total land area (SDG 6.6.1)  Data Source: Joint Research Centre of the European Commission and UN Environment(https://ec.europa.eu/info/departments/joint-research-centre_en), Global Surface Water Explorer extraction for UN Environment(https://global-surface-water.appspot.com/)",,,
"Description: The surface area measurements reported here have been extracted from the Global Surface Water Explorer (GSWE). These figures may or may not match national figures on water body extent and have not been nationally validated. A permanent water surface is underwater throughout the year (whilst a seasonal water surface is underwater for less than 12 months of the year). This indicator includes areas which have been identified as permanent plus areas of uncertainty that have identified as likely being permanent. % over the total land area
Metadata: https://environmentlive.unep.org/media/docs/projects/metadata_6_6_1.pdf, https://unstats.un.org/sdgs/metadata/files/Metadata-06-06-01a.pdf, https://unstats.un.org/sdgs/metadata/files/Metadata-06-06-01b.pdf",,,
INDICATOR NAME (unit),COUNTRY NAME,YEAR,VALUE
"Water Body Extent (permanent and maybe permanent), % of Total land area (SDG 6.6.1) (% of land area)",Egypt,1989,0.56
"Water Body Extent (permanent and maybe permanent), % of Total land area (SDG 6.6.1) (% of land area)",Egypt,1990,0.63
"Water Body Extent (permanent and maybe permanent), % of Total land area (SDG 6.6.1) (% of land area)",Egypt,1991,0.66
"Water Body Extent (permanent and maybe permanent), % of Total land area (SDG 6.6.1) (% of land area)",Egypt,1992,0.72
"Water Body Extent (permanent and maybe permanent), % of Total land area (SDG 6.6.1) (% of land area)",Egypt,1993,0.79
"Water Body Extent (permanent and maybe permanent), % of Total land area (SDG 6.6.1) (% of land area)",Egypt,1994,0.79
"Water Body Extent (permanent and maybe permanent), % of Total land area (SDG 6.6.1) (% of land area)",Egypt,1995,0.79
"Water Body Extent (permanent and maybe permanent), % of Total land area (SDG 6.6.1) (% of land area)",Egypt,1996,0.81
"Water Body Extent (permanent and maybe permanent), % of Total land area (SDG 6.6.1) (% of land area)",Egypt,1997,0.81
"Water Body Extent (permanent and maybe permanent), % of Total land area (SDG 6.6.1) (% of land area)",Egypt,1998,0.82
"Water Body Extent (permanent and maybe permanent), % of Total land area (SDG 6.6.1) (% of land area)",Egypt,1999,0.78
"Water Body Extent (permanent and maybe permanent), % of Total land area (SDG 6.6.1) (% of land area)",Egypt,2000,0.75
"Water Body Extent (permanent and maybe permanent), % of Total land area (SDG 6.6.1) (% of land area)",Egypt,2001,0.74
"Water Body Extent (permanent and maybe permanent), % of Total land area (SDG 6.6.1) (% of land area)",Egypt,2002,0.74
"Water Body Extent (permanent and maybe permanent), % of Total land area (SDG 6.6.1) (% of land area)",Egypt,2003,0.73
"Water Body Extent (permanent and maybe permanent), % of Total land area (SDG 6.6.1) (% of land area)",Egypt,2004,0.75
"Water Body Extent (permanent and maybe permanent), % of Total land area (SDG 6.6.1) (% of land area)",Egypt,2005,0.76
"Water Body Extent (permanent and maybe permanent), % of Total land area (SDG 6.6.1) (% of land area)",Egypt,2006,0.75
"Water Body Extent (permanent and maybe permanent), % of Total land area (SDG 6.6.1) (% of land area)",Egypt,2007,0.72
"Water Body Extent (permanent and maybe permanent), % of Total land area (SDG 6.6.1) (% of land area)",Egypt,2008,0.71
"Water Body Extent (permanent and maybe permanent), % of Total land area (SDG 6.6.1) (% of land area)",Egypt,2009,0.7
"Water Body Extent (permanent and maybe permanent), % of Total land area (SDG 6.6.1) (% of land area)",Egypt,2010,0.69
"Water Body Extent (permanent and maybe permanent), % of Total land area (SDG 6.6.1) (% of land area)",Egypt,2011,0.68
"Water Body Extent (permanent and maybe permanent), % of Total land area (SDG 6.6.1) (% of land area)",Egypt,2012,0.68
"Water Body Extent (permanent and maybe permanent), % of Total land area (SDG 6.6.1) (% of land area)",Egypt,2013,0.66
"Water Body Extent (permanent and maybe permanent), % of Total land area (SDG 6.6.1) (% of land area)",Egypt,2014,0.65
"Water Body Extent (permanent and maybe permanent), % of Total land area (SDG 6.6.1) (% of land area)",Egypt,2015,0.64
"Water Body Extent (permanent and maybe permanent), % of Total land area (SDG 6.6.1) (% of land area)",Egypt,2016,0.65
"Water Body Extent (permanent and maybe permanent), % of Total land area (SDG 6.6.1) (% of land area)",Egypt,2017,0.65
"Water Body Extent (permanent and maybe permanent), % of Total land area (SDG 6.6.1) (% of land area)",Egypt,2018,0.65
"Indicator name: Extent of inland wetlands (square kilometres)  Data Source: Joint Research Centre of the European Commission and UN Environment(https://ec.europa.eu/info/departments/joint-research-centre_en), Global Surface Water Explorer extraction for UN Environment(https://global-surface-water.appspot.com/)",,,
"Description: The surface area measurements reported here have been extracted from the Global Surface Water Explorer (GSWE). These figures may or may not match national figures on water body extent and have not been nationally validated. A permanent water surface is underwater throughout the year (whilst a seasonal water surface is underwater for less than 12 months of the year). This indicator includes areas which have been identified as permanent plus areas of uncertainty that have identified as likely being permanent. 
Metadata: https://environmentlive.unep.org/media/docs/projects/metadata_6_6_1.pdf, https://unstats.un.org/sdgs/metadata/files/Metadata-06-06-01a.pdf, https://unstats.un.org/sdgs/metadata/files/Metadata-06-06-01b.pdf",,,
INDICATOR NAME (unit),COUNTRY NAME,YEAR,VALUE
Extent of inland wetlands (square kilometres) (Km2),Egypt,2018,3834
