Entity,Code,Year,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)"
Netherlands,NLD,2007,0.656686973
Netherlands,NLD,2012,0.561399582
Netherlands,NLD,2017,0.475849843
New Zealand,NZL,1987,44
New Zealand,NZL,1992,44
New Zealand,NZL,1997,44
New Zealand,NZL,2002,61.65465681
New Zealand,NZL,2007,58.55457967
New Zealand,NZL,2012,61.661219
New Zealand,NZL,2017,61.661219
Nicaragua,NIC,2002,81.01550015
Nicaragua,NIC,2007,77.21428105
Nicaragua,NIC,2012,76.71889162
Nicaragua,NIC,2017,76.71889162
Niger,NER,1992,75.16864761
Niger,NER,1997,69.66552813
Niger,NER,2002,67.05902945
Niger,NER,2007,75.9263086
Niger,NER,2012,93.97314292
Niger,NER,2017,87.72631218
Nigeria,NGA,1987,70.12522361
Nigeria,NGA,1992,61.20519481
Nigeria,NGA,1997,55.79571059
Nigeria,NGA,2002,50.95623867
Nigeria,NGA,2007,46.16905751
Nigeria,NGA,2012,44.16833667
Nigeria,NGA,2017,44.16833667
North America,,2017,37.2591571841561
North Korea,PRK,2002,76.89193717
North Korea,PRK,2007,76.34733997
North Korea,PRK,2012,76.34733997
North Korea,PRK,2017,76.34733997
North Macedonia,MKD,1997,66.84711592
North Macedonia,MKD,2002,44.44093493
North Macedonia,MKD,2007,22.76850508
North Macedonia,MKD,2012,79.29902708
North Macedonia,MKD,2017,39.54437433
Norway,NOR,1997,31.01289596
Norway,NOR,2002,31.63487891
Norway,NOR,2007,27.92042563
Norway,NOR,2012,30.92719353
Norway,NOR,2017,31.39491677
OECD members,,2017,47.8488458223807
Oman,OMN,1992,93.44938981
Oman,OMN,1997,91.50393102
Oman,OMN,2002,89.10544728
Oman,OMN,2007,87.16751006
Oman,OMN,2012,86.03115196
Oman,OMN,2017,85.84401709
Other small states,,2017,49.1953611082759
Pacific island small states,,2017,58.89281508
Pakistan,PAK,1977,97.84603669
Pakistan,PAK,1982,97.46460029
Pakistan,PAK,1987,97.08659589
Pakistan,PAK,1992,96.48219224
Pakistan,PAK,1997,95.06310912
Pakistan,PAK,2002,94.29706216
Pakistan,PAK,2007,94.08685257
Pakistan,PAK,2012,93.97656037
Pakistan,PAK,2017,93.97656037
Palestine,PSE,2001,59.86
Palestine,PSE,2005,45.22
Panama,PAN,2012,40.15461836
Panama,PAN,2017,36.82516097
Papua New Guinea,PNG,2002,0.312812813
Papua New Guinea,PNG,2007,0.25503698
Papua New Guinea,PNG,2012,0.25503698
Papua New Guinea,PNG,2017,0.25503698
Paraguay,PRY,1987,78
Paraguay,PRY,1992,75.26655348
Paraguay,PRY,1997,72.79806139
Paraguay,PRY,2002,73.76889412
Paraguay,PRY,2007,75.49709098
Paraguay,PRY,2012,78.61583092
Paraguay,PRY,2017,78.61583092
Peru,PER,2012,84.72583365
Peru,PER,2017,81.34826995
Philippines,PHL,2007,82.44576421
Philippines,PHL,2012,80.60725477
Philippines,PHL,2017,73.28380899
Poland,POL,1972,14.57919498
Poland,POL,1977,10.77205363
Poland,POL,1982,9.181690321
Poland,POL,1987,10.55628044
Poland,POL,1992,10.23151606
Poland,POL,1997,8.4609375
Poland,POL,2002,9.445865303
Poland,POL,2007,9.326683292
Poland,POL,2012,9.599303136
Poland,POL,2017,10.09820454
Portugal,PRT,1992,66.85357931
Portugal,PRT,1997,78.38701806
Portugal,PRT,2002,77.87153588
Portugal,PRT,2007,95.8037373
Portugal,PRT,2012,78.45541188
Portugal,PRT,2017,78.43014466
Post-demographic dividend,,2017,40.8674535265623
Pre-demographic dividend,,2017,86.6795719686768
Puerto Rico,PRI,1992,4.612422366
Puerto Rico,PRI,1997,3.851903591
Puerto Rico,PRI,2002,2.702364318
Puerto Rico,PRI,2007,1.682885218
Puerto Rico,PRI,2012,2.206017751
Puerto Rico,PRI,2017,3.466178042
Qatar,QAT,1997,72.66758811
Qatar,QAT,2002,65.20879245
Qatar,QAT,2007,49.31799427
Qatar,QAT,2012,38.64126708
Qatar,QAT,2017,31.96362043
Romania,ROU,1972,37.69324301
Romania,ROU,1977,38.15594059
Romania,ROU,1982,38.34702259
Romania,ROU,1987,42.67982799
Romania,ROU,1992,44.78354619
Romania,ROU,1997,23.91653291
Romania,ROU,2002,12.92561267
Romania,ROU,2007,15.96455549
Romania,ROU,2012,16.86207961
Romania,ROU,2017,22.01387864
Russia,RUS,1997,19.95901397
Russia,RUS,2002,19.93957704
Russia,RUS,2007,19.93957704
Russia,RUS,2012,19.93957704
Russia,RUS,2017,28.97065673
Rwanda,RWA,2002,62.3624358
Rwanda,RWA,2007,55.46492659
Rwanda,RWA,2012,55.46492659
Rwanda,RWA,2017,55.46492659
Saint Kitts and Nevis,KNA,2012,1.282051282
Saint Kitts and Nevis,KNA,2017,1.282051282
Saint Lucia,LCA,2007,70.86247086
Saint Lucia,LCA,2012,70.86247086
Saint Lucia,LCA,2017,70.86247086
Saint Vincent and the Grenadines,VCT,1997,71.45011707
Saint Vincent and the Grenadines,VCT,2002,51.29241602
Saint Vincent and the Grenadines,VCT,2007,29.27102587
Saint Vincent and the Grenadines,VCT,2012,5.114957114
Saint Vincent and the Grenadines,VCT,2017,0
Sao Tome and Principe,STP,2017,62.59168704
Saudi Arabia,SAU,1992,89.95299647
Saudi Arabia,SAU,1997,88.45856075
Saudi Arabia,SAU,2002,88.01442497
Saudi Arabia,SAU,2007,87.38059326
Saudi Arabia,SAU,2012,83.86015326
Saudi Arabia,SAU,2017,82.22698073
Senegal,SEN,1987,91.98529412
Senegal,SEN,1992,91.12055231
Senegal,SEN,1997,90.35535536
Senegal,SEN,2002,92.97613688
Senegal,SEN,2007,92.97613688
Senegal,SEN,2012,92.97613688
Senegal,SEN,2017,92.97613688
Serbia,SRB,2007,3.239009601
Serbia,SRB,2012,16.14112174
Serbia,SRB,2017,12.28869507
Seychelles,SYC,1992,7.508939213
Seychelles,SYC,1997,7.127429806
Seychelles,SYC,2002,7.33410943
Seychelles,SYC,2007,6.569343066
Seychelles,SYC,2012,6.569343066
Seychelles,SYC,2017,6.569343066
Sierra Leone,SLE,1987,88.91891892
Sierra Leone,SLE,1992,36.26762713
Sierra Leone,SLE,1997,27.6441301
Sierra Leone,SLE,2002,23.0551912
Sierra Leone,SLE,2007,21.53628652
Sierra Leone,SLE,2012,21.53628652
Sierra Leone,SLE,2017,21.53628652
Singapore,SGP,1977,2.622030701
Singapore,SGP,1982,1.639477151
Singapore,SGP,1987,1.321116599
Singapore,SGP,1992,1.163599497
Singapore,SGP,1997,1.069614793
Singapore,SGP,2002,0.989566201
Singapore,SGP,2007,1.145173224
Singapore,SGP,2012,2.166048663
Singapore,SGP,2017,4
Slovakia,SVK,1997,5.114503817
Slovakia,SVK,2002,5.116959064
Slovakia,SVK,2007,3.270348837
Slovakia,SVK,2012,4.614459642
Slovakia,SVK,2017,5.68038828
Slovenia,SVN,2002,0.733985765
Slovenia,SVN,2007,0.492031233
Slovenia,SVN,2012,0.247818123
Slovenia,SVN,2017,0.418724501
Small states,,2014,14.89
Small states,,2017,50.1506037651499
Somalia,SOM,1987,97.03703704
Somalia,SOM,1992,98.94461404
Somalia,SOM,1997,99.51316162
Somalia,SOM,2002,99.55504027
Somalia,SOM,2007,99.48453608
Somalia,SOM,2012,99.48453608
Somalia,SOM,2017,99.48453608
South Africa,ZAF,1992,70.21953112
South Africa,ZAF,1997,65.01166589
South Africa,ZAF,2002,61.48434588
South Africa,ZAF,2007,61.99447239
South Africa,ZAF,2012,62.43510805
South Africa,ZAF,2017,58.77192982
South Asia,,2017,91.2850846104766
South Asia (IDA & IBRD),,2017,91.2850846104766
South Korea,KOR,1992,65.85270941
South Korea,KOR,1997,60.10220126
South Korea,KOR,2002,55.2069403
South Korea,KOR,2007,58.21087867
South Korea,KOR,2012,57.77073496
South Korea,KOR,2017,58.93213204
South Sudan,SSD,2012,36.47416413
South Sudan,SSD,2017,36.47416413
Spain,ESP,1987,62.37630953
Spain,ESP,1992,64.76980726
Spain,ESP,1997,67.66091506
Spain,ESP,2002,64.11576457
Spain,ESP,2007,65.16178
Spain,ESP,2012,69.51229497
Spain,ESP,2017,65.22296258
Sri Lanka,LKA,1992,95.06475754
Sri Lanka,LKA,1997,93.15158845
Sri Lanka,LKA,2002,90.29046359
Sri Lanka,LKA,2007,87.36289201
Sri Lanka,LKA,2012,87.36289201
Sri Lanka,LKA,2017,87.36289201
Sub-Saharan Africa,,2017,78.9023480403669
Sub-Saharan Africa (IDA & IBRD),,2017,78.9023480403669
Sub-Saharan Africa (excluding high income),,2017,78.9087862930464
Sudan,SDN,2012,96.19454242
Sudan,SDN,2017,96.19454242
Suriname,SUR,1987,89.13043478
Suriname,SUR,1992,90.75391181
Suriname,SUR,1997,91.95544554
Suriname,SUR,2002,85.43892837
Suriname,SUR,2007,69.99512908
Suriname,SUR,2012,69.99512908
Suriname,SUR,2017,69.99512908
Sweden,SWE,1972,3.269784712
Sweden,SWE,1977,3.351765871
Sweden,SWE,1982,3.409644423
Sweden,SWE,1987,4.379378081
Sweden,SWE,1992,5.852674067
Sweden,SWE,1997,5.533013648
Sweden,SWE,2002,5.044843049
Sweden,SWE,2007,4.068441065
Sweden,SWE,2012,3.464149177
Sweden,SWE,2017,3.157894737
Switzerland,CHE,2002,2.714455917
Switzerland,CHE,2007,5.051074556
Switzerland,CHE,2012,7.985833998
Switzerland,CHE,2017,9.234052371
Syria,SYR,1997,88.99979206
Syria,SYR,2002,88.08606883
Syria,SYR,2007,87.52774397
Syria,SYR,2012,87.52774397
Syria,SYR,2017,87.52774397
Tajikistan,TJK,1997,91.97331431
Tajikistan,TJK,2002,91.37422772
Tajikistan,TJK,2007,90.82367679
Tajikistan,TJK,2012,90.82367679
Tajikistan,TJK,2017,90.82367679
Tanzania,TZA,1997,83.10467507
Tanzania,TZA,2002,89.35185185
Tanzania,TZA,2007,89.35185185
Tanzania,TZA,2012,89.35185185
Tanzania,TZA,2017,89.35185185
Thailand,THA,2007,90.37448086
Thailand,THA,2012,90.37448086
Thailand,THA,2017,90.37448086
Timor,TLS,2007,91.38225256
Timor,TLS,2012,91.38225256
Timor,TLS,2017,91.38225256
Togo,TGO,1987,25.27472527
Togo,TGO,1992,37.04800169
Togo,TGO,1997,44.11914029
Togo,TGO,2002,44.9704142
Togo,TGO,2007,34.08071749
Togo,TGO,2012,34.08071749
Togo,TGO,2017,34.08071749
Trinidad and Tobago,TTO,1997,5.252525253
Trinidad and Tobago,TTO,2002,4.963235294
Trinidad and Tobago,TTO,2007,4.351229917
Trinidad and Tobago,TTO,2012,4.358037578
Trinidad and Tobago,TTO,2017,4.358037578
Tunisia,TUN,1992,87.52928576
Tunisia,TUN,1997,84.2394051
Tunisia,TUN,2002,81.77842577
Tunisia,TUN,2007,80.73283265
Tunisia,TUN,2012,79.40654206
Tunisia,TUN,2017,77.39487179
Turkey,TUR,1992,72.46835443
Turkey,TUR,1997,80.84552347
Turkey,TUR,2002,78.72648838
Turkey,TUR,2007,84.34563374
Turkey,TUR,2012,86.67933793
Turkey,TUR,2017,84.88230107
Turkmenistan,TKM,1997,97.2166022
Turkmenistan,TKM,2002,96.51866335
Turkmenistan,TKM,2007,94.29777492
Turkmenistan,TKM,2012,94.29777492
Turkmenistan,TKM,2017,94.29777492
Uganda,UGA,1972,57.51533742
Uganda,UGA,1977,52.11952745
Uganda,UGA,1982,47.64930114
Uganda,UGA,1987,43.88531305
Uganda,UGA,1992,40.67245119
Uganda,UGA,1997,37.89792825
Uganda,UGA,2002,33.19043009
Uganda,UGA,2007,39.89792897
Uganda,UGA,2012,40.65934066
Uganda,UGA,2017,40.65934066
Ukraine,UKR,1992,30.25
Ukraine,UKR,1997,30.11521934
Ukraine,UKR,2002,30.00164683
Ukraine,UKR,2007,30.00128518
Ukraine,UKR,2012,31.89320758
Ukraine,UKR,2017,34.92374728
United Arab Emirates,ARE,1982,76.50163358
United Arab Emirates,ARE,1987,71.12406631
United Arab Emirates,ARE,1992,68.0668667
United Arab Emirates,ARE,1997,72.3858822
United Arab Emirates,ARE,2002,81.53236569
United Arab Emirates,ARE,2007,82.84142071
United Arab Emirates,ARE,2012,82.84142071
United Arab Emirates,ARE,2017,82.84142071
United Kingdom,GBR,1992,9.02516973
United Kingdom,GBR,1997,14.77906116
United Kingdom,GBR,2002,9.388458226
United Kingdom,GBR,2007,15.62316457
United Kingdom,GBR,2012,12.77087899
United Kingdom,GBR,2017,14.04988124
United States,USA,1982,26.28516282
United States,USA,1987,31.73677414
United States,USA,1992,34.87723139
United States,USA,1997,35.03721316
United States,USA,2002,34.72623609
United States,USA,2007,34.82791048
United States,USA,2012,37.42298591
United States,USA,2017,39.65878143
Upper middle income,,2014,14.89
Upper middle income,,2017,66.6022401354427
Uruguay,URY,1965,91
Uruguay,URY,1967,89.88355926
Uruguay,URY,1972,88.43450479
Uruguay,URY,1977,87.72634619
Uruguay,URY,1982,87.30654762
Uruguay,URY,1987,87.02877374
Uruguay,URY,1992,86.83137858
Uruguay,URY,1997,86.68388343
Uruguay,URY,2002,86.61202186
Uruguay,URY,2007,86.61202186
Uruguay,URY,2012,86.61202186
Uruguay,URY,2017,86.61202186
Uzbekistan,UZB,1997,92.23596483
Uzbekistan,UZB,2002,90.32556574
Uzbekistan,UZB,2007,90.32466353
Uzbekistan,UZB,2012,91.18666568
Uzbekistan,UZB,2017,92.29202037
Venezuela,VEN,1972,45.69985902
Venezuela,VEN,1977,45.11479334
Venezuela,VEN,1982,44.68880841
Venezuela,VEN,1987,44.36478764
Venezuela,VEN,1992,44.11003479
Venezuela,VEN,1997,43.90448301
Venezuela,VEN,2002,58.39032976
Venezuela,VEN,2007,73.85211016
Venezuela,VEN,2012,73.85211016
Venezuela,VEN,2017,73.85211016
Vietnam,VNM,1982,91.32863022
Vietnam,VNM,1987,90.41390687
Vietnam,VNM,1992,91.94417855
Vietnam,VNM,1997,93.34319257
Vietnam,VNM,2002,94.33415371
Vietnam,VNM,2007,94.78239668
Vietnam,VNM,2012,94.78239668
Vietnam,VNM,2017,94.78239668
World,OWID_WRL,2014,14.89
World,OWID_WRL,2017,71.280242200968
Yemen,YEM,1992,91.61819143
Yemen,YEM,1997,90.5632593
Yemen,YEM,2002,90.30582804
Yemen,YEM,2007,90.74333801
Yemen,YEM,2012,90.74333801
Yemen,YEM,2017,90.74333801
Zambia,ZMB,1992,76.64567831
Zambia,ZMB,1997,75.65898479
Zambia,ZMB,2002,73.28244275
Zambia,ZMB,2007,73.28244275
Zambia,ZMB,2012,73.28244275
Zambia,ZMB,2017,73.28244275
Zimbabwe,ZWE,1987,79.01639344
Zimbabwe,ZWE,1992,78.94657637
Zimbabwe,ZWE,1997,78.92004154
Zimbabwe,ZWE,2002,78.90606421
Zimbabwe,ZWE,2007,82.07282913
Zimbabwe,ZWE,2012,80.19574914
Zimbabwe,ZWE,2017,82.95648528
