Entity,Code,Year,"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)"
Mozambique,MOZ,2017,1.6972165648
Myanmar,MMR,1987,0.4204416761
Myanmar,MMR,1992,0.6660045464
Myanmar,MMR,1997,0.8823056872
Myanmar,MMR,2002,1.1977145082
Myanmar,MMR,2007,1.492599891
Myanmar,MMR,2012,1.492599891
Myanmar,MMR,2017,1.492599891
Namibia,NAM,1992,3.3823529412
Namibia,NAM,1997,4.1228070175
Namibia,NAM,2002,4.8611111111
Namibia,NAM,2007,4.8611111111
Namibia,NAM,2012,4.8611111111
Namibia,NAM,2017,4.8611111111
Nepal,NPL,2002,0.377922767
Nepal,NPL,2007,0.310621137
Nepal,NPL,2012,0.310621137
Nepal,NPL,2017,0.310621137
Netherlands,NLD,1992,80.7680315943
Netherlands,NLD,1997,78.9328421601
Netherlands,NLD,2002,85.9537907571
Netherlands,NLD,2007,87.9449077076
Netherlands,NLD,2012,88.0893763056
Netherlands,NLD,2017,91.6866233322
New Zealand,NZL,1987,10
New Zealand,NZL,1992,10
New Zealand,NZL,1997,10
New Zealand,NZL,2002,13.7726433836
New Zealand,NZL,2007,20.0803011292
New Zealand,NZL,2012,22.7648529129
New Zealand,NZL,2017,22.7648529129
Nicaragua,NIC,2002,3.6804282395
Nicaragua,NIC,2007,4.8038639775
Nicaragua,NIC,2012,4.7649876991
Nicaragua,NIC,2017,4.7649876991
Niger,NER,1992,2.5912838634
Niger,NER,1997,3.0676032738
Niger,NER,2002,3.2949722137
Niger,NER,2007,2.5727300498
Niger,NER,2012,1.0950655441
Niger,NER,2017,2.0560854418
Nigeria,NGA,1987,9.7495527728
Nigeria,NGA,1992,12.6025974026
Nigeria,NGA,1997,14.3328048068
Nigeria,NGA,2002,15.891687937
Nigeria,NGA,2007,16.4650087143
Nigeria,NGA,2012,15.751503006
Nigeria,NGA,2017,15.751503006
North America,,2017,49.554680500302
North Korea,PRK,2002,12.9215678976
North Korea,PRK,2007,13.2250687242
North Korea,PRK,2012,13.2250687242
North Korea,PRK,2017,13.2250687242
North Macedonia,MKD,1997,17.2913944372
North Macedonia,MKD,2002,22.062539482
North Macedonia,MKD,2007,36.1574746009
North Macedonia,MKD,2012,7.1728597663
North Macedonia,MKD,2017,27.12338496
Norway,NOR,1997,36.1837986728
Norway,NOR,2002,36.7302421836
Norway,NOR,2007,40.745514028
Norway,NOR,2012,39.2034847542
Norway,NOR,2017,39.796373365
OECD members,,2017,36.255487247963
Oman,OMN,1992,1.6331658291
Oman,OMN,1997,2.003550596
Oman,OMN,2002,1.6991504248
Oman,OMN,2007,4.2428960685
Oman,OMN,2012,6.7917882107
Oman,OMN,2017,7.2115384615
Other small states,,2017,30.6868034462054
Pacific island small states,,2017,11.3074204947
Pakistan,PAK,1977,1.0769816527
Pakistan,PAK,1982,1.2676998533
Pakistan,PAK,1987,1.4567020549
Pakistan,PAK,1992,1.6558954676
Pakistan,PAK,1997,1.8852851893
Pakistan,PAK,2002,1.6860685906
Pakistan,PAK,2007,0.9116703422
Pakistan,PAK,2012,0.7631507223
Pakistan,PAK,2017,0.7631507223
Palestine,PSE,2001,5.233
Palestine,PSE,2005,6.938
Panama,PAN,2012,0.7961691571
Panama,PAN,2017,0.5118045237
Papua New Guinea,PNG,2002,42.723973974
Papua New Guinea,PNG,2007,42.7441979087
Papua New Guinea,PNG,2012,42.7441979087
Papua New Guinea,PNG,2017,42.7441979087
Paraguay,PRY,1987,7
Paraguay,PRY,1992,7.4838709677
Paraguay,PRY,1997,7.9208400646
Paraguay,PRY,2002,8.3134125262
Paraguay,PRY,2007,8.424287815
Paraguay,PRY,2012,6.3820969747
Paraguay,PRY,2017,6.3820969747
Peru,PER,2012,1.664953337
Peru,PER,2017,1.2829429444
Philippines,PHL,2007,9.0163934426
Philippines,PHL,2012,10.7266641345
Philippines,PHL,2017,17.0891330365
Poland,POL,1992,68.5586258402
Poland,POL,1997,73.6328125
Poland,POL,2002,74.5327562463
Poland,POL,2007,67.0023658802
Poland,POL,2012,66.6202090592
Poland,POL,2017,69.784743577
Portugal,PRT,1992,28.5054395363
Portugal,PRT,1997,14.7413372377
Portugal,PRT,2002,13.2968734139
Portugal,PRT,2007,16.3588678833
Portugal,PRT,2012,13.3965725536
Portugal,PRT,2017,13.3922580761
Post-demographic dividend,,2017,42.3826941612486
Pre-demographic dividend,,2017,4.33289200330103
Puerto Rico,PRI,1992,80.9803931031
Puerto Rico,PRI,1997,79.3746906493
Puerto Rico,PRI,2002,77.5802921719
Puerto Rico,PRI,2007,76.2471263884
Puerto Rico,PRI,2012,74.6037007224
Puerto Rico,PRI,2017,72.22476714
Qatar,QAT,1997,3.8527988943
Qatar,QAT,2002,3.2604396225
Qatar,QAT,2007,2.0969855832
Qatar,QAT,2012,2.3816293422
Qatar,QAT,2017,15.7462195924
Romania,ROU,1972,47.6984540559
Romania,ROU,1977,48.9727722772
Romania,ROU,1982,49.3942505133
Romania,ROU,1987,45.0938232995
Romania,ROU,1992,44.0205672583
Romania,ROU,1997,59.6308186196
Romania,ROU,2002,66.905226632
Romania,ROU,2007,63.6257989541
Romania,ROU,2012,66.8929342795
Romania,ROU,2017,62.5129189429
Russia,RUS,1997,60.8484896254
Russia,RUS,2002,59.8187311178
Russia,RUS,2007,59.8187311178
Russia,RUS,2012,59.8187311178
Russia,RUS,2017,43.533612793
Rwanda,RWA,2002,9.4155050135
Rwanda,RWA,2007,11.1473626971
Rwanda,RWA,2012,11.1473626971
Rwanda,RWA,2017,11.1473626971
Saint Kitts and Nevis,KNA,2012,0
Saint Kitts and Nevis,KNA,2017,0
Saint Lucia,LCA,2007,0
Saint Lucia,LCA,2012,0
Saint Lucia,LCA,2017,0
Saint Vincent and the Grenadines,VCT,2017,0.0235238767
Sao Tome and Principe,STP,2017,1.466992665
Saudi Arabia,SAU,1992,1.133960047
Saudi Arabia,SAU,1997,1.302656391
Saudi Arabia,SAU,2002,2.0672566535
Saudi Arabia,SAU,2007,3.1552108023
Saudi Arabia,SAU,2012,4.0373563218
Saudi Arabia,SAU,2017,4.2826552463
Senegal,SEN,1987,3.0147058824
Senegal,SEN,1992,3.3351035582
Senegal,SEN,1997,3.6186186186
Senegal,SEN,2002,2.61143629
Senegal,SEN,2007,2.61143629
Senegal,SEN,2012,2.61143629
Senegal,SEN,2017,2.61143629
Serbia,SRB,2012,80.0465236495
Serbia,SRB,2017,75.4467855615
Seychelles,SYC,1992,9.4051359844
Seychelles,SYC,1997,9.2872570194
Seychelles,SYC,2002,21.7306946061
Seychelles,SYC,2007,27.7372262774
Seychelles,SYC,2012,27.7372262774
Seychelles,SYC,2017,27.7372262774
Sierra Leone,SLE,1987,4.0540540541
Sierra Leone,SLE,1992,21.8851107991
Sierra Leone,SLE,1997,24.2892373552
Sierra Leone,SLE,2002,25.6381798002
Sierra Leone,SLE,2007,26.1545711593
Sierra Leone,SLE,2012,26.1545711593
Sierra Leone,SLE,2017,26.1545711593
Singapore,SGP,1977,51.7315094542
Singapore,SGP,1982,52.2531083115
Singapore,SGP,1987,52.4221133493
Singapore,SGP,1992,52.5057329548
Singapore,SGP,1997,52.5556257208
Singapore,SGP,2002,52.5919905327
Singapore,SGP,2007,52.5028046289
Singapore,SGP,2012,51.965407282
Singapore,SGP,2017,51
Slovakia,SVK,1997,58.0916030534
Slovakia,SVK,2002,56.8804824561
Slovakia,SVK,2007,44.6220930233
Slovakia,SVK,2012,49.4213136931
Slovakia,SVK,2017,41.5603091857
Slovenia,SVN,2002,78.4586298932
Slovenia,SVN,2007,81.6023104075
Slovenia,SVN,2012,82.3294903566
Slovenia,SVN,2017,81.382864505
Small states,,2014,0
Small states,,2017,32.0008078689954
Somalia,SOM,1987,0
Somalia,SOM,1992,0
Somalia,SOM,1997,0
Somalia,SOM,2002,0.0404285426
Somalia,SOM,2007,0.0606428138
Somalia,SOM,2012,0.0606428138
Somalia,SOM,2017,0.0606428138
South Africa,ZAF,1992,9.9618140603
South Africa,ZAF,1997,8.4149945559
South Africa,ZAF,2002,8.6318952665
South Africa,ZAF,2007,9.5475352493
South Africa,ZAF,2012,10.338444203
South Africa,ZAF,2017,21.1558307534
South Asia,,2017,1.92061523739162
South Asia (IDA & IBRD),,2017,1.92061523739162
South Korea,KOR,1992,10.7403443915
South Korea,KOR,1997,12.893081761
South Korea,KOR,2002,15.2590611391
South Korea,KOR,2007,16.2304768234
South Korea,KOR,2012,16.1077550495
South Korea,KOR,2017,16.43157817
South Sudan,SSD,2012,34.1945288754
South Sudan,SSD,2017,34.1945288754
Spain,ESP,1987,24.5474517494
Spain,ESP,1992,17.6541198271
Spain,ESP,1997,19.3069163849
Spain,ESP,2002,20.7235285933
Spain,ESP,2007,18.2582295561
Spain,ESP,2012,17.9361916978
Spain,ESP,2017,19.1119938493
Sri Lanka,LKA,1992,2.4835562314
Sri Lanka,LKA,1997,3.4724691231
Sri Lanka,LKA,2002,4.933167806
Sri Lanka,LKA,2007,6.4189711108
Sri Lanka,LKA,2012,6.4189711108
Sri Lanka,LKA,2017,6.4189711108
Sub-Saharan Africa,,2017,6.86832065163505
Sub-Saharan Africa (IDA & IBRD),,2017,6.86832065163505
Sub-Saharan Africa (excluding high income),,2017,6.86646314153145
Sudan,SDN,2012,0.2784481158
Sudan,SDN,2017,0.2784481158
Suriname,SUR,1987,4.7826086957
Suriname,SUR,1992,3.9260312945
Suriname,SUR,1997,3.2920792079
Suriname,SUR,2002,8.9728513728
Suriname,SUR,2007,22.000324728
Suriname,SUR,2012,22.000324728
Suriname,SUR,2017,22.000324728
Sweden,SWE,1972,72.233881595
Sweden,SWE,1977,71.7854197992
Sweden,SWE,1982,72.0896249391
Sweden,SWE,1987,66.0282998602
Sweden,SWE,1992,59.9730911537
Sweden,SWE,1997,55.6621172999
Sweden,SWE,2002,56.1659192825
Sweden,SWE,2007,57.9087452471
Sweden,SWE,2012,57.7826324413
Sweden,SWE,2017,56.6315789474
Switzerland,CHE,2012,32.0580606544
Switzerland,CHE,2017,37.0688660745
Syria,SYR,1997,2.8973452554
Syria,SYR,2002,3.4782077144
Syria,SYR,2007,3.6717500776
Syria,SYR,2012,3.6717500776
Syria,SYR,2017,3.6717500776
Tajikistan,TJK,1997,4.4518105148
Tajikistan,TJK,2002,4.3140156093
Tajikistan,TJK,2007,3.5476911299
Tajikistan,TJK,2012,3.5476911299
Tajikistan,TJK,2017,3.5476911299
Tanzania,TZA,1997,0.8649483751
Tanzania,TZA,2002,0.4822530864
Tanzania,TZA,2007,0.4822530864
Tanzania,TZA,2012,0.4822530864
Tanzania,TZA,2017,0.4822530864
Thailand,THA,2007,4.8459149129
Thailand,THA,2012,4.8459149129
Thailand,THA,2017,4.8459149129
Timor,TLS,2007,0.1706484642
Timor,TLS,2012,0.1706484642
Timor,TLS,2017,0.1706484642
Togo,TGO,1987,13.1868131868
Togo,TGO,1992,7.6971875661
Togo,TGO,1997,4.4000676933
Togo,TGO,2002,2.3668639053
Togo,TGO,2007,2.8251121076
Togo,TGO,2012,2.8251121076
Togo,TGO,2017,2.8251121076
Trinidad and Tobago,TTO,1997,31.5824915825
Trinidad and Tobago,TTO,2002,32.4142156863
Trinidad and Tobago,TTO,2007,33.6280546227
Trinidad and Tobago,TTO,2012,33.6377870564
Trinidad and Tobago,TTO,2017,33.6377870564
Tunisia,TUN,1992,3.0390253698
Tunisia,TUN,1997,3.710923399
Tunisia,TUN,2002,4.2609221205
Tunisia,TUN,2007,4.6910022414
Tunisia,TUN,2012,8.3644859813
Tunisia,TUN,2017,19.7948717949
Turkey,TUR,1992,11.0759493671
Turkey,TUR,1997,6.3797196906
Turkey,TUR,2002,8.7406365822
Turkey,TUR,2007,3.2890213156
Turkey,TUR,2012,3.5479527996
Turkey,TUR,2017,4.9148633064
Turkmenistan,TKM,1997,0.840298161
Turkmenistan,TKM,2002,1.0844297409
Turkmenistan,TKM,2007,3.0013593761
Turkmenistan,TKM,2012,3.0013593761
Turkmenistan,TKM,2017,3.0013593761
Uganda,UGA,1972,9.0171267894
Uganda,UGA,1977,11.2259671068
Uganda,UGA,1982,13.0559085133
Uganda,UGA,1987,14.5967427345
Uganda,UGA,1992,15.911966739
Uganda,UGA,1997,17.0477513896
Uganda,UGA,2002,12.7229982022
Uganda,UGA,2007,8.3461392057
Uganda,UGA,2012,7.8492935636
Uganda,UGA,2017,7.8492935636
Ukraine,UKR,1992,51.9230769231
Ukraine,UKR,1997,51.9018274543
Ukraine,UKR,2002,50.5081635534
Ukraine,UKR,2007,48.0009788424
Ukraine,UKR,2012,45.8431581349
Ukraine,UKR,2017,38.9651416122
United Arab Emirates,ARE,1982,9.1291781855
United Arab Emirates,ARE,1987,9.3277464019
United Arab Emirates,ARE,1992,9.4406343763
United Arab Emirates,ARE,1997,6.7803036547
United Arab Emirates,ARE,2002,2.3515171579
United Arab Emirates,ARE,2007,1.7258629315
United Arab Emirates,ARE,2012,1.7258629315
United Arab Emirates,ARE,2017,1.7258629315
United Kingdom,GBR,2002,38.1280505312
United Kingdom,GBR,2007,14.0138611535
United Kingdom,GBR,2012,13.6596055515
United Kingdom,GBR,2017,11.9952494062
United States,USA,1992,54.155737759
United States,USA,1997,53.698353385
United States,USA,2002,53.7537730396
United States,USA,2007,53.1164190333
United States,USA,2012,49.6557017076
United States,USA,2017,47.1989016183
Upper middle income,,2014,0
Upper middle income,,2017,19.0578164379939
Uruguay,URY,1965,3
Uruguay,URY,1967,2.7928397636
Uruguay,URY,1972,2.5239616613
Uruguay,URY,1977,2.3925598777
Uruguay,URY,1982,2.3146645022
Uruguay,URY,1987,2.2631224008
Uruguay,URY,1992,2.2264949048
Uruguay,URY,1997,2.1991265642
Uruguay,URY,2002,2.1857923497
Uruguay,URY,2007,2.1857923497
Uruguay,URY,2012,2.1857923497
Uruguay,URY,2017,2.1857923497
Uzbekistan,UZB,1997,2.7688665572
Uzbekistan,UZB,2002,3.5963657777
Uzbekistan,UZB,2007,2.9419479812
Uzbekistan,UZB,2012,3.6412293363
Uzbekistan,UZB,2017,3.6162988115
Venezuela,VEN,1972,10.5276382288
Venezuela,VEN,1977,9.6068620534
Venezuela,VEN,1982,8.9364471116
Venezuela,VEN,1987,8.4265033413
Venezuela,VEN,1992,8.0255733814
Venezuela,VEN,1997,7.7020760555
Venezuela,VEN,2002,5.5795374504
Venezuela,VEN,2007,3.5060968873
Venezuela,VEN,2012,3.5060968873
Venezuela,VEN,2017,3.5060968873
Vietnam,VNM,1982,5.0166568685
Vietnam,VNM,1987,6.1177495122
Vietnam,VNM,1992,5.4939795456
Vietnam,VNM,1997,4.8450213921
Vietnam,VNM,2002,4.1994508593
Vietnam,VNM,2007,3.7474094843
Vietnam,VNM,2012,3.7474094843
Vietnam,VNM,2017,3.7474094843
World,OWID_WRL,2014,0
World,OWID_WRL,2017,16.8013475283742
Yemen,YEM,1992,1.2691697515
Yemen,YEM,1997,1.7456129586
Yemen,YEM,2002,1.9272937103
Yemen,YEM,2007,1.8232819074
Yemen,YEM,2012,1.8232819074
Yemen,YEM,2017,1.8232819074
Zambia,ZMB,1992,6.1247853463
Zambia,ZMB,1997,7.4710046694
Zambia,ZMB,2002,8.2697201018
Zambia,ZMB,2007,8.2697201018
Zambia,ZMB,2012,8.2697201018
Zambia,ZMB,2017,8.2697201018
Zimbabwe,ZWE,1987,6.9672131148
Zimbabwe,ZWE,1992,7.0428893905
Zimbabwe,ZWE,1997,7.0716510903
Zimbabwe,ZWE,2002,7.0868014269
Zimbabwe,ZWE,2007,6.0224089636
Zimbabwe,ZWE,2012,3.7994113079
Zimbabwe,ZWE,2017,2.437782636
